user_id,signup_date,segment,city_tier,preferred_device,lifetime_sessions,lifetime_orders,first_order_date,last_order_date,repeat_rate_flag,user_value_band
u000001,2025-07-16,premium,1,mobile,3,0,,,0,no_spend
u000002,2025-12-29,regular,3,mobile,5,1,2025-11-14 09:34:01,2025-11-14 09:34:01,0,high
u000003,2025-11-26,value,3,mobile,2,0,,,0,no_spend
u000004,2025-09-01,value,2,mobile,5,1,2025-11-06 14:06:09,2025-11-06 14:06:09,0,medium
u000005,2025-10-06,regular,1,web,2,0,,,0,no_spend
u000006,2025-11-09,value,1,web,3,0,,,0,no_spend
u000007,2025-06-28,value,2,web,2,0,,,0,no_spend
u000008,2025-10-06,premium,2,mobile,3,0,,,0,no_spend
u000009,2025-11-24,value,2,mobile,3,0,,,0,no_spend
u000010,2025-08-01,premium,1,mobile,5,0,,,0,no_spend
u000011,2025-09-24,regular,2,web,4,0,,,0,no_spend
u000012,2025-10-13,regular,3,web,5,0,,,0,no_spend
u000013,2025-11-24,regular,2,mobile,3,1,2025-12-04 17:09:01,2025-12-04 17:09:01,0,medium
u000014,2026-01-11,value,2,mobile,3,0,,,0,no_spend
u000015,2025-12-18,regular,1,web,5,0,,,0,no_spend
u000016,2025-10-31,value,2,web,1,0,,,0,no_spend
u000017,2025-10-24,premium,2,web,4,2,2025-11-09 03:06:16,2026-01-15 05:17:35,1,high
u000018,2025-10-28,value,3,web,2,0,,,0,no_spend
u000019,2025-10-15,value,3,web,5,1,2025-12-21 04:16:33,2025-12-21 04:16:33,0,medium
u000020,2025-07-05,regular,3,web,0,0,,,0,no_spend
u000021,2025-11-17,regular,3,mobile,4,0,,,0,no_spend
u000022,2025-11-20,regular,3,web,2,0,,,0,no_spend
u000023,2025-10-09,regular,3,web,4,0,,,0,no_spend
u000024,2025-12-23,value,1,web,3,0,,,0,no_spend
u000025,2025-11-11,regular,1,mobile,5,0,,,0,no_spend
u000026,2025-09-07,value,2,web,2,0,,,0,no_spend
u000027,2025-06-27,value,2,web,1,0,,,0,no_spend
u000028,2025-07-05,value,1,web,4,0,,,0,no_spend
u000029,2025-09-05,value,3,mobile,3,0,,,0,no_spend
u000030,2025-09-28,value,2,mobile,2,0,,,0,no_spend
u000031,2025-07-28,regular,2,web,3,0,,,0,no_spend
u000032,2025-08-02,value,1,web,5,0,,,0,no_spend
u000033,2025-08-10,value,2,web,7,0,,,0,no_spend
u000034,2025-12-04,regular,1,mobile,6,0,,,0,no_spend
u000035,2025-12-02,value,3,mobile,3,0,,,0,no_spend
u000036,2025-09-11,regular,2,web,2,0,,,0,no_spend
u000037,2025-07-29,premium,3,web,4,1,2025-11-29 23:36:12,2025-11-29 23:36:12,0,medium
u000038,2025-07-16,regular,2,mobile,2,0,,,0,no_spend
u000039,2025-07-11,premium,2,mobile,3,0,,,0,no_spend
u000040,2025-09-13,value,2,web,3,1,2026-01-18 07:26:40,2026-01-18 07:26:40,0,medium
u000041,2025-07-03,value,3,web,6,1,2025-11-06 12:43:35,2025-11-06 12:43:35,0,medium
u000042,2025-09-01,regular,3,web,5,1,2026-01-11 04:13:19,2026-01-11 04:13:19,0,low
u000043,2026-01-11,regular,1,mobile,3,0,,,0,no_spend
u000044,2025-10-08,regular,3,mobile,1,0,,,0,no_spend
u000045,2025-12-13,value,1,mobile,2,0,,,0,no_spend
u000046,2025-07-20,regular,3,mobile,2,0,,,0,no_spend
u000047,2025-08-18,regular,1,web,4,1,2026-01-17 14:03:09,2026-01-17 14:03:09,0,medium
u000048,2026-01-08,value,2,web,5,0,,,0,no_spend
u000049,2025-09-11,value,3,web,5,0,,,0,no_spend
u000050,2025-11-06,premium,1,mobile,3,0,,,0,no_spend
u000051,2026-01-14,value,2,mobile,4,0,,,0,no_spend
u000052,2025-10-17,regular,2,web,3,0,,,0,no_spend
u000053,2025-08-26,regular,1,web,5,1,2025-11-26 05:37:14,2025-11-26 05:37:14,0,low
u000054,2025-10-13,regular,3,mobile,3,0,,,0,no_spend
u000055,2025-07-04,regular,3,mobile,1,0,,,0,no_spend
u000056,2025-07-17,premium,3,mobile,2,0,,,0,no_spend
u000057,2025-06-24,value,2,web,4,1,2025-12-21 11:28:23,2025-12-21 11:28:23,0,low
u000058,2025-12-26,value,2,mobile,4,1,2025-11-30 03:40:46,2025-11-30 03:40:46,0,high
u000059,2025-11-11,regular,1,mobile,2,0,,,0,no_spend
u000060,2025-08-25,regular,1,mobile,5,0,,,0,no_spend
u000061,2025-08-08,value,1,mobile,2,0,,,0,no_spend
u000062,2025-11-13,value,3,mobile,3,0,,,0,no_spend
u000063,2026-01-02,value,3,mobile,5,0,,,0,no_spend
u000064,2025-08-25,value,3,mobile,4,0,,,0,no_spend
u000065,2025-08-29,value,2,web,5,1,2025-12-01 23:31:23,2025-12-01 23:31:23,0,low
u000066,2025-12-19,premium,2,web,5,1,2025-12-14 09:32:12,2025-12-14 09:32:12,0,high
u000067,2025-12-28,value,2,mobile,3,1,2025-10-28 09:25:31,2025-10-28 09:25:31,0,high
u000068,2026-01-01,premium,2,mobile,0,0,,,0,no_spend
u000069,2025-08-24,premium,2,web,4,0,,,0,no_spend
u000070,2025-07-18,value,1,web,7,1,2026-01-04 00:18:42,2026-01-04 00:18:42,0,medium
u000071,2025-09-23,regular,1,mobile,3,0,,,0,no_spend
u000072,2025-08-24,regular,3,mobile,2,0,,,0,no_spend
u000073,2025-12-26,regular,2,mobile,2,0,,,0,no_spend
u000074,2025-07-01,value,3,web,2,0,,,0,no_spend
u000075,2025-11-03,value,1,mobile,3,0,,,0,no_spend
u000076,2025-12-30,value,2,mobile,4,0,,,0,no_spend
u000077,2026-01-14,regular,1,web,6,0,,,0,no_spend
u000078,2025-11-06,premium,2,web,2,0,,,0,no_spend
u000079,2026-01-08,regular,1,mobile,4,0,,,0,no_spend
u000080,2025-07-09,regular,1,web,8,0,,,0,no_spend
u000081,2025-09-06,premium,3,mobile,5,0,,,0,no_spend
u000082,2025-06-25,regular,2,mobile,6,1,2026-01-12 11:52:48,2026-01-12 11:52:48,0,medium
u000083,2026-01-15,value,2,mobile,4,0,,,0,no_spend
u000084,2025-12-30,premium,2,web,2,0,,,0,no_spend
u000085,2025-06-29,regular,2,mobile,1,0,,,0,no_spend
u000086,2025-06-27,value,2,web,5,0,,,0,no_spend
u000087,2025-09-08,regular,1,mobile,1,0,,,0,no_spend
u000088,2025-08-16,premium,3,web,8,0,,,0,no_spend
u000089,2025-12-18,value,3,mobile,5,0,,,0,no_spend
u000090,2025-07-27,regular,3,mobile,4,0,,,0,no_spend
u000091,2025-12-06,value,2,web,3,0,,,0,no_spend
u000092,2025-10-17,value,1,web,2,0,,,0,no_spend
u000093,2025-09-10,value,3,mobile,6,1,2026-01-16 07:19:58,2026-01-16 07:19:58,0,high
u000094,2025-07-24,regular,2,web,4,0,,,0,no_spend
u000095,2026-01-18,premium,1,web,2,0,,,0,no_spend
u000096,2025-10-31,value,2,web,1,0,,,0,no_spend
u000097,2025-09-23,value,3,mobile,2,0,,,0,no_spend
u000098,2025-09-09,value,2,mobile,2,0,,,0,no_spend
u000099,2025-12-30,value,3,web,2,0,,,0,no_spend
u000100,2025-12-12,regular,3,mobile,0,0,,,0,no_spend
u000101,2025-12-10,regular,1,web,3,1,2025-12-04 14:05:19,2025-12-04 14:05:19,0,medium
u000102,2025-10-30,regular,3,web,1,0,,,0,no_spend
u000103,2025-12-26,regular,2,web,0,0,,,0,no_spend
u000104,2025-08-25,regular,2,web,4,0,,,0,no_spend
u000105,2025-11-18,value,1,web,3,0,,,0,no_spend
