session_id,user_id,start_ts,device,channel,campaign_id,is_new_user,variant,has_product_view,has_add_to_cart,has_begin_checkout,has_payment_attempt,has_purchase,session_duration_sec,time_to_cart_sec,time_to_checkout_sec,time_to_purchase_sec,time_to_payment_sec,net_amount,gross_amount,discount_amount
s0000001,u001627,2025-10-26 15:56:31,web,organic,c025,1,a,0,0,0,0,0,29.0,,,,,0.0,0.0,0.0
s0000002,u001038,2025-12-09 21:56:53,mobile,paid_social,c037,0,not-eligible,0,0,0,0,0,27.0,,,,,0.0,0.0,0.0
s0000003,guest,2025-11-24 21:24:21,web,organic,c034,0,not-eligible,1,0,0,0,0,52.0,,,,,0.0,0.0,0.0
s0000004,u001072,2025-12-02 06:51:38,mobile,organic,c013,0,not-eligible,0,0,0,0,0,88.0,,,,,0.0,0.0,0.0
s0000005,u001301,2025-11-28 16:03:05,mobile,paid_social,c004,1,not-eligible,1,0,0,0,0,159.0,,,,,0.0,0.0,0.0
s0000006,u001775,2025-11-04 05:23:59,web,email,c005,1,not-eligible,0,0,0,0,0,103.0,,,,,0.0,0.0,0.0
s0000007,u001565,2025-11-10 06:23:02,web,organic,c009,1,a,0,0,0,0,0,93.0,,,,,0.0,0.0,0.0
s0000008,u000613,2025-10-27 06:33:38,mobile,email,c025,0,not-eligible,1,0,0,0,0,173.0,,,,,0.0,0.0,0.0
s0000009,u000544,2025-10-31 19:35:34,mobile,organic,c020,0,not-eligible,1,0,0,0,0,100.0,,,,,0.0,0.0,0.0
s0000010,guest,2026-01-17 10:49:44,web,organic,c012,0,not-eligible,0,0,0,0,0,60.0,,,,,0.0,0.0,0.0
s0000011,u001420,2025-11-15 14:54:56,web,organic,c008,0,b,1,0,0,0,0,139.0,,,,,0.0,0.0,0.0
s0000012,u000809,2025-11-18 01:45:04,mobile,organic,c021,0,not-eligible,0,0,0,0,0,9.0,,,,,0.0,0.0,0.0
s0000013,u001845,2025-11-01 21:07:32,web,organic,c039,0,not-eligible,0,0,0,0,0,22.0,,,,,0.0,0.0,0.0
s0000014,u000921,2025-12-28 09:43:51,web,paid_social,c031,0,not-eligible,1,0,0,0,0,124.0,,,,,0.0,0.0,0.0
s0000015,u000739,2026-01-12 14:43:28,web,email,c011,0,a,1,1,1,1,1,454.0,156.0,275.0,454.0,368.0,4095.09,4145.06,49.97
s0000016,u001223,2025-12-31 12:26:14,web,organic,c023,0,a,1,1,0,0,0,133.0,133.0,,,,0.0,0.0,0.0
s0000017,u000425,2025-12-15 13:49:34,web,organic,c021,0,a,1,0,0,0,0,22.0,,,,,0.0,0.0,0.0
s0000018,u001531,2026-01-02 15:09:33,mobile,search,c033,0,not-eligible,1,0,0,0,0,44.0,,,,,0.0,0.0,0.0
s0000019,u001974,2025-11-26 19:42:48,mobile,search,c014,0,not-eligible,1,0,0,0,0,131.0,,,,,0.0,0.0,0.0
s0000020,u002080,2026-01-06 19:05:25,web,email,c014,0,b,0,0,0,0,0,80.0,,,,,0.0,0.0,0.0
s0000021,u000983,2026-01-01 07:22:36,web,organic,c018,0,not-eligible,1,0,0,0,0,175.0,,,,,0.0,0.0,0.0
s0000022,u000592,2025-10-21 14:18:04,mobile,paid_social,c007,0,not-eligible,1,0,0,0,0,81.0,,,,,0.0,0.0,0.0
s0000023,u001054,2025-12-04 08:12:41,web,search,c035,1,b,1,0,0,0,0,156.0,,,,,0.0,0.0,0.0
s0000024,u000229,2025-11-14 06:08:52,mobile,email,c016,1,not-eligible,1,0,0,0,0,147.0,,,,,0.0,0.0,0.0
s0000025,u001470,2025-10-29 04:50:21,web,organic,c035,1,a,1,0,0,0,0,89.0,,,,,0.0,0.0,0.0
s0000026,u000944,2026-01-05 14:21:34,mobile,organic,c017,0,not-eligible,1,1,1,1,0,355.0,243.0,263.0,,355.0,0.0,0.0,0.0
s0000027,u000269,2025-10-22 03:44:50,web,organic,c028,1,a,0,0,0,0,0,24.0,,,,,0.0,0.0,0.0
s0000028,guest,2025-12-26 03:43:45,mobile,paid_social,c029,0,not-eligible,0,0,0,0,0,58.0,,,,,0.0,0.0,0.0
s0000029,u001581,2026-01-18 09:04:16,mobile,search,c032,0,not-eligible,0,0,0,0,0,11.0,,,,,0.0,0.0,0.0
s0000030,guest,2025-12-03 19:44:19,web,paid_social,c028,0,not-eligible,0,0,0,0,0,108.0,,,,,0.0,0.0,0.0
s0000031,u000891,2025-11-23 20:27:20,mobile,organic,c028,0,not-eligible,1,0,0,0,0,203.0,,,,,0.0,0.0,0.0
s0000032,guest,2025-12-14 23:10:31,web,organic,c013,0,not-eligible,0,0,0,0,0,22.0,,,,,0.0,0.0,0.0
s0000033,u001562,2026-01-01 20:43:24,web,search,c003,0,not-eligible,1,0,0,0,0,152.0,,,,,0.0,0.0,0.0
s0000034,u001758,2025-11-12 01:31:13,mobile,organic,c038,0,not-eligible,0,0,0,0,0,59.0,,,,,0.0,0.0,0.0
s0000035,u000990,2025-11-13 00:05:28,mobile,referral,c034,1,not-eligible,1,0,0,0,0,197.0,,,,,0.0,0.0,0.0
s0000036,u001087,2025-12-15 02:04:50,web,email,c012,0,not-eligible,1,0,0,0,0,100.0,,,,,0.0,0.0,0.0
s0000037,guest,2026-01-14 00:42:59,web,organic,c001,0,not-eligible,1,0,0,0,0,109.0,,,,,0.0,0.0,0.0
s0000038,guest,2025-11-17 07:12:23,web,paid_social,c040,0,not-eligible,1,1,1,1,0,254.0,146.0,207.0,,254.0,0.0,0.0,0.0
s0000039,u000318,2025-11-24 08:21:58,web,organic,c004,0,a,1,0,0,0,0,182.0,,,,,0.0,0.0,0.0
s0000040,u000090,2026-01-18 20:10:33,web,referral,c002,0,b,1,0,0,0,0,134.0,,,,,0.0,0.0,0.0
s0000041,u001832,2025-11-06 07:12:57,web,paid_social,c040,0,b,0,0,0,0,0,43.0,,,,,0.0,0.0,0.0
s0000042,u001182,2025-10-28 08:49:38,web,organic,c027,0,a,1,1,0,0,0,149.0,149.0,,,,0.0,0.0,0.0
s0000043,guest,2025-12-13 12:26:50,mobile,paid_social,c025,0,not-eligible,0,0,0,0,0,118.0,,,,,0.0,0.0,0.0
s0000044,u001311,2025-10-23 14:59:34,mobile,organic,c025,0,not-eligible,0,0,0,0,0,66.0,,,,,0.0,0.0,0.0
s0000045,u000908,2025-11-06 16:18:42,mobile,organic,c030,0,not-eligible,0,0,0,0,0,97.0,,,,,0.0,0.0,0.0
s0000046,u001962,2025-12-16 10:32:52,web,organic,c024,0,not-eligible,1,0,0,0,0,185.0,,,,,0.0,0.0,0.0
s0000047,u001034,2025-12-19 19:07:22,web,search,c030,1,not-eligible,0,0,0,0,0,100.0,,,,,0.0,0.0,0.0
s0000048,u001103,2025-12-06 09:05:40,web,organic,c032,1,a,1,0,0,0,0,159.0,,,,,0.0,0.0,0.0
s0000049,u001169,2025-11-24 23:28:18,web,referral,c009,0,a,1,0,0,0,0,197.0,,,,,0.0,0.0,0.0
s0000050,u000347,2025-12-12 07:09:46,web,search,c024,0,b,1,0,0,0,0,135.0,,,,,0.0,0.0,0.0
s0000051,u000382,2025-12-18 08:17:21,web,email,c014,0,b,0,0,0,0,0,47.0,,,,,0.0,0.0,0.0
s0000052,u000397,2026-01-01 18:05:50,mobile,organic,c025,0,not-eligible,0,0,0,0,0,7.0,,,,,0.0,0.0,0.0
s0000053,u000559,2025-12-31 18:55:04,mobile,email,c007,0,not-eligible,0,0,0,0,0,50.0,,,,,0.0,0.0,0.0
s0000054,u000352,2025-12-20 06:32:44,web,paid_social,c036,0,a,1,0,0,0,0,149.0,,,,,0.0,0.0,0.0
s0000055,u000494,2026-01-09 22:07:06,web,paid_social,c011,1,b,0,0,0,0,0,59.0,,,,,0.0,0.0,0.0
s0000056,u002065,2026-01-04 20:42:38,mobile,email,c008,0,not-eligible,1,0,0,0,0,142.0,,,,,0.0,0.0,0.0
s0000057,u000794,2025-11-02 10:23:15,mobile,search,c005,0,not-eligible,1,0,0,0,0,180.0,,,,,0.0,0.0,0.0
s0000058,u001746,2026-01-15 13:00:13,web,paid_social,c022,0,a,1,0,0,0,0,209.0,,,,,0.0,0.0,0.0
s0000059,u000866,2026-01-09 16:44:22,mobile,email,c015,1,not-eligible,0,0,0,0,0,74.0,,,,,0.0,0.0,0.0
s0000060,guest,2025-11-19 07:46:43,web,organic,c029,0,not-eligible,1,1,1,1,1,501.0,327.0,399.0,501.0,449.0,4151.41,4302.5,151.09
s0000061,u001657,2025-10-23 06:10:28,mobile,organic,c017,0,not-eligible,1,0,0,0,0,184.0,,,,,0.0,0.0,0.0
s0000062,guest,2025-12-14 19:09:51,mobile,referral,c013,0,not-eligible,1,0,0,0,0,147.0,,,,,0.0,0.0,0.0
s0000063,u000635,2025-11-29 21:33:29,web,email,c013,1,a,1,0,0,0,0,132.0,,,,,0.0,0.0,0.0
s0000064,u000211,2025-12-27 21:38:24,web,search,c009,0,a,1,0,0,0,0,130.0,,,,,0.0,0.0,0.0
s0000065,u000678,2025-12-07 15:42:41,mobile,email,c028,1,not-eligible,0,0,0,0,0,81.0,,,,,0.0,0.0,0.0
s0000066,u001545,2025-10-28 07:47:43,mobile,email,c006,1,not-eligible,0,0,0,0,0,11.0,,,,,0.0,0.0,0.0
s0000067,u001440,2025-11-12 11:06:03,mobile,search,c037,0,not-eligible,1,0,0,0,0,118.0,,,,,0.0,0.0,0.0
s0000068,u001550,2026-01-08 20:49:38,web,organic,c011,0,b,1,0,0,0,0,73.0,,,,,0.0,0.0,0.0
s0000069,u002186,2025-10-24 19:59:09,mobile,search,c001,0,not-eligible,1,1,0,0,0,166.0,166.0,,,,0.0,0.0,0.0
s0000070,u000495,2025-12-26 17:46:57,mobile,search,c027,1,not-eligible,1,0,0,0,0,176.0,,,,,0.0,0.0,0.0
s0000071,u000978,2025-11-16 17:10:26,mobile,organic,c029,0,not-eligible,1,0,0,0,0,111.0,,,,,0.0,0.0,0.0
s0000072,u001080,2025-12-01 04:16:41,web,referral,c025,1,a,1,1,0,0,0,206.0,206.0,,,,0.0,0.0,0.0
s0000073,guest,2025-12-08 05:32:52,web,paid_social,c015,0,not-eligible,1,1,1,1,1,423.0,183.0,272.0,423.0,389.0,6602.83,7199.78,596.95
s0000074,u001458,2025-11-12 22:45:06,mobile,email,c007,0,not-eligible,0,0,0,0,0,15.0,,,,,0.0,0.0,0.0
s0000075,u000108,2025-12-19 02:48:38,web,paid_social,c035,1,b,0,0,0,0,0,33.0,,,,,0.0,0.0,0.0
s0000076,u001975,2025-12-22 20:24:40,web,organic,c020,0,b,0,0,0,0,0,30.0,,,,,0.0,0.0,0.0
s0000077,u000195,2025-10-29 02:18:16,web,paid_social,c020,1,b,1,0,0,0,0,125.0,,,,,0.0,0.0,0.0
s0000078,guest,2025-11-24 02:15:31,mobile,paid_social,c009,0,not-eligible,1,0,0,0,0,110.0,,,,,0.0,0.0,0.0
s0000079,u000382,2025-12-27 10:25:52,mobile,paid_social,c032,0,not-eligible,1,1,0,0,0,209.0,209.0,,,,0.0,0.0,0.0
s0000080,u001963,2025-12-25 09:18:47,mobile,organic,c038,0,not-eligible,1,0,0,0,0,134.0,,,,,0.0,0.0,0.0
s0000081,u001896,2025-12-09 10:55:09,mobile,email,c026,0,not-eligible,1,1,1,1,1,265.0,160.0,206.0,265.0,214.0,1304.13,1262.26,75.4
s0000082,u002030,2025-12-30 10:21:13,mobile,organic,c029,0,not-eligible,1,0,0,0,0,136.0,,,,,0.0,0.0,0.0
s0000083,u001834,2025-10-31 03:05:20,web,search,c029,0,not-eligible,0,0,0,0,0,54.0,,,,,0.0,0.0,0.0
s0000084,u002032,2025-11-01 01:54:44,web,search,c007,0,b,1,1,1,1,1,447.0,218.0,308.0,447.0,369.0,12399.47,13486.98,1087.51
s0000085,u001038,2025-12-19 14:45:10,mobile,referral,c019,0,not-eligible,0,0,0,0,0,34.0,,,,,0.0,0.0,0.0
s0000086,u000011,2025-12-22 20:10:38,mobile,organic,c012,0,not-eligible,1,0,0,0,0,51.0,,,,,0.0,0.0,0.0
s0000087,u000964,2026-01-02 17:57:14,mobile,organic,c017,1,not-eligible,1,0,0,0,0,160.0,,,,,0.0,0.0,0.0
s0000088,u000487,2025-11-06 17:36:56,web,referral,c035,0,not-eligible,1,0,0,0,0,166.0,,,,,0.0,0.0,0.0
s0000089,u000539,2025-12-06 22:48:10,mobile,referral,c034,0,not-eligible,1,0,0,0,0,89.0,,,,,0.0,0.0,0.0
s0000090,u001521,2025-12-19 21:58:18,web,organic,c023,0,not-eligible,0,0,0,0,0,49.0,,,,,0.0,0.0,0.0
s0000091,u000368,2025-11-10 13:46:02,web,email,c005,1,not-eligible,0,0,0,0,0,16.0,,,,,0.0,0.0,0.0
s0000092,guest,2025-12-06 23:08:25,web,referral,c015,0,not-eligible,0,0,0,0,0,61.0,,,,,0.0,0.0,0.0
s0000093,guest,2025-12-17 21:37:02,web,organic,c029,0,not-eligible,0,0,0,0,0,113.0,,,,,0.0,0.0,0.0
s0000094,guest,2025-11-09 17:47:13,web,paid_social,c024,0,not-eligible,0,0,0,0,0,103.0,,,,,0.0,0.0,0.0
s0000095,guest,2025-11-24 05:47:35,mobile,organic,c023,0,not-eligible,1,0,0,0,0,58.0,,,,,0.0,0.0,0.0
s0000096,u001679,2025-11-09 21:52:04,web,email,c016,1,a,1,0,0,0,0,150.0,,,,,0.0,0.0,0.0
s0000097,guest,2026-01-10 16:55:58,mobile,organic,c039,0,not-eligible,1,0,0,0,0,126.0,,,,,0.0,0.0,0.0
s0000098,u000063,2025-11-11 18:03:42,web,paid_social,c037,1,a,0,0,0,0,0,37.0,,,,,0.0,0.0,0.0
s0000099,u001732,2025-11-01 07:34:44,web,email,c026,0,a,1,1,1,1,1,391.0,228.0,270.0,391.0,276.0,14081.92,15390.66,1308.74
s0000100,u000982,2025-10-24 14:30:41,web,organic,c035,0,b,1,0,0,0,0,179.0,,,,,0.0,0.0,0.0
s0000101,u000586,2025-10-25 11:40:32,web,paid_social,c008,1,b,1,0,0,0,0,70.0,,,,,0.0,0.0,0.0
s0000102,guest,2025-11-07 16:24:08,web,organic,c007,0,not-eligible,0,0,0,0,0,16.0,,,,,0.0,0.0,0.0
s0000103,u001891,2025-12-15 04:18:23,web,organic,c029,1,b,0,0,0,0,0,29.0,,,,,0.0,0.0,0.0
s0000104,u000969,2025-10-23 00:41:59,web,referral,c028,1,b,1,0,0,0,0,79.0,,,,,0.0,0.0,0.0
s0000105,u000976,2025-11-16 05:56:34,web,referral,c010,0,b,0,0,0,0,0,71.0,,,,,0.0,0.0,0.0
s0000106,u002007,2025-10-26 16:12:59,mobile,paid_social,c034,0,not-eligible,0,0,0,0,0,115.0,,,,,0.0,0.0,0.0
s0000107,u000421,2025-11-26 18:28:44,unknown,email,c030,1,not-eligible,0,0,0,0,0,103.0,,,,,0.0,0.0,0.0
s0000108,u000900,2025-10-25 19:30:06,web,organic,c009,0,b,1,1,1,1,1,350.0,162.0,236.0,350.0,281.0,7887.78,8550.28,662.5
s0000109,u001255,2025-12-15 02:51:59,web,search,c025,1,a,1,0,0,0,0,91.0,,,,,0.0,0.0,0.0
s0000110,u000763,2025-12-22 09:34:21,web,email,c035,0,a,0,0,0,0,0,67.0,,,,,0.0,0.0,0.0
s0000111,guest,2025-12-26 06:15:54,mobile,email,c031,0,not-eligible,1,0,0,0,0,160.0,,,,,0.0,0.0,0.0
s0000112,guest,2025-11-10 15:09:28,web,search,c017,0,not-eligible,1,0,0,0,0,80.0,,,,,0.0,0.0,0.0
s0000113,u000587,2026-01-07 14:32:11,mobile,organic,c033,1,not-eligible,0,0,0,0,0,60.0,,,,,0.0,0.0,0.0
s0000114,u000788,2025-12-22 13:35:54,mobile,paid_social,c013,0,not-eligible,1,0,0,0,0,184.0,,,,,0.0,0.0,0.0
s0000115,u001843,2025-10-26 12:56:26,web,organic,c039,1,b,1,0,0,0,0,46.0,,,,,0.0,0.0,0.0
s0000116,u000742,2025-11-30 02:37:56,mobile,email,c040,1,not-eligible,0,0,0,0,0,79.0,,,,,0.0,0.0,0.0
s0000117,u000355,2025-12-29 12:55:48,mobile,organic,c013,0,not-eligible,1,0,0,0,0,192.0,,,,,0.0,0.0,0.0
s0000118,guest,2025-11-18 10:06:25,mobile,search,c028,0,not-eligible,1,0,0,0,0,121.0,,,,,0.0,0.0,0.0
